point_id,lon,lat,note,property,depth,value,target_units,mapped_units
nw_high,-57.03844,-25.60542,NW corner (high ridge),soc,60-100cm,8.300,g/kg,dg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),soc,100-200cm,8.800,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,0-5cm,20.500,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,5-15cm,23.000,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,15-30cm,23.100,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,30-60cm,28.600,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,60-100cm,32.000,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),clay,100-200cm,33.100,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,0-5cm,58.000,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,5-15cm,55.800,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,15-30cm,55.300,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,30-60cm,51.000,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,60-100cm,47.900,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),sand,100-200cm,47.500,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,0-5cm,21.600,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,5-15cm,21.200,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,15-30cm,21.600,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,30-60cm,20.400,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,60-100cm,20.200,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),silt,100-200cm,19.400,%,g/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,0-5cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,5-15cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,15-30cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,30-60cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,60-100cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),phh2o,100-200cm,5.400,-,pH*10
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,0-5cm,1.160,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,5-15cm,1.210,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,15-30cm,1.250,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,30-60cm,1.260,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,60-100cm,1.310,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),bdod,100-200cm,1.330,kg/dm³,cg/cm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,0-5cm,23.400,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,5-15cm,24.600,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,15-30cm,23.600,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,30-60cm,23.100,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,60-100cm,22.400,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),cec,100-200cm,22.000,cmol(c)/kg,mmol(c)/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,0-5cm,3.050,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,5-15cm,2.100,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,15-30cm,1.410,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,30-60cm,0.840,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,60-100cm,0.530,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),nitrogen,100-200cm,0.570,g/kg,cg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,0-5cm,42.100,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,5-15cm,30.900,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,15-30cm,22.700,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,30-60cm,10.600,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,60-100cm,6.600,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),ocd,100-200cm,3.400,hg/m³,dg/dm³
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,0-5cm,36.900,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,5-15cm,27.500,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,15-30cm,22.000,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,30-60cm,10.300,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,60-100cm,7.800,g/kg,dg/kg
ne_corner,-57.02928,-25.6094,NE corner (east boundary),soc,100-200cm,8.500,g/kg,dg/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,0-5cm,19.100,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,5-15cm,21.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,15-30cm,21.300,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,30-60cm,27.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,60-100cm,30.600,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),clay,100-200cm,31.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,0-5cm,60.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,5-15cm,58.700,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,15-30cm,58.600,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,30-60cm,53.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,60-100cm,50.300,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),sand,100-200cm,50.500,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,0-5cm,20.400,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,5-15cm,19.800,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,15-30cm,20.000,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,30-60cm,19.100,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,60-100cm,19.100,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),silt,100-200cm,17.900,%,g/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,0-5cm,5.400,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,5-15cm,5.400,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,15-30cm,5.400,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,30-60cm,5.400,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,60-100cm,5.300,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),phh2o,100-200cm,5.400,-,pH*10
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,0-5cm,1.160,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,5-15cm,1.220,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,15-30cm,1.260,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,30-60cm,1.270,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,60-100cm,1.300,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),bdod,100-200cm,1.310,kg/dm³,cg/cm³
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,0-5cm,19.100,cmol(c)/kg,mmol(c)/kg
sw_corner,-57.03781,-25.60748,SW corner (drainage side),cec,5-15cm,18.300,cmol(c)/kg,mmol(c)/kg
