id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
Rocks002,texture,ambientcg.com,CC0 1.0 Universal,165.9,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks004,texture,ambientcg.com,CC0 1.0 Universal,152.5,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks006,texture,ambientcg.com,CC0 1.0 Universal,227.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks007,texture,ambientcg.com,CC0 1.0 Universal,214.7,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks009,texture,ambientcg.com,CC0 1.0 Universal,233.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks010,texture,ambientcg.com,CC0 1.0 Universal,213.3,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks011,texture,ambientcg.com,CC0 1.0 Universal,196.7,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles001,texture,ambientcg.com,CC0 1.0 Universal,166.8,Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles002,texture,ambientcg.com,CC0 1.0 Universal,166.0,Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles003,texture,ambientcg.com,CC0 1.0 Universal,167.9,Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles005,texture,ambientcg.com,CC0 1.0 Universal,168.0,Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles006,texture,ambientcg.com,CC0 1.0 Universal,188.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
RoofingTiles008,texture,ambientcg.com,CC0 1.0 Universal,222.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Wood005,texture,ambientcg.com,CC0 1.0 Universal,119.2,Color|Displacement|Roughness,?,unclassified,1,
Wood006,texture,ambientcg.com,CC0 1.0 Universal,112.0,Color|Displacement|Roughness,?,unclassified,1,
Wood013,texture,ambientcg.com,CC0 1.0 Universal,109.0,Color|Displacement|Roughness,?,unclassified,1,
Wood017,texture,ambientcg.com,CC0 1.0 Universal,105.9,Color|Displacement|Roughness,?,unclassified,1,
Wood019,texture,ambientcg.com,CC0 1.0 Universal,97.5,Color|Displacement|Roughness,?,unclassified,1,
Wood021,texture,ambientcg.com,CC0 1.0 Universal,185.3,Color|Displacement|Roughness,?,unclassified,1,
Wood022,texture,ambientcg.com,CC0 1.0 Universal,189.0,Color|Displacement|Roughness,?,unclassified,1,
Wood023,texture,ambientcg.com,CC0 1.0 Universal,180.9,Color|Displacement|Roughness,?,unclassified,1,
Wood025,texture,ambientcg.com,CC0 1.0 Universal,185.6,Color|Displacement|Roughness,?,unclassified,1,
Wood026,texture,ambientcg.com,CC0 1.0 Universal,186.8,Color|Displacement|Roughness,?,unclassified,1,
Wood027,texture,ambientcg.com,CC0 1.0 Universal,189.4,Color|Displacement|Roughness,?,unclassified,1,
Wood028,texture,ambientcg.com,CC0 1.0 Universal,184.6,Color|Displacement|Roughness,?,unclassified,1,
Wood036,texture,ambientcg.com,CC0 1.0 Universal,216.0,Color|Displacement|Roughness,?,unclassified,1,
Wood048,texture,ambientcg.com,CC0 1.0 Universal,164.7,Color|Displacement|Roughness,?,unclassified,1,
Wood049,texture,ambientcg.com,CC0 1.0 Universal,165.1,Color|Displacement|Roughness,?,unclassified,1,
Wood050,texture,ambientcg.com,CC0 1.0 Universal,175.2,Color|Displacement|Roughness,?,unclassified,1,
Wood051,texture,ambientcg.com,CC0 1.0 Universal,158.0,Color|Displacement|Roughness,?,unclassified,1,
bark_brown_01,texture,polyhaven.com,CC0 1.0,37.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,flora/material,4,tree-bark scatter material
bark_brown_02,texture,polyhaven.com,CC0 1.0 Universal,31.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,flora/material,4,tree-bark scatter material
bark_platanus,texture,polyhaven.com,CC0 1.0,41.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,flora/material,4,tree-bark scatter material
bark_willow,texture,polyhaven.com,CC0 1.0,53.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,flora/material,4,tree-bark scatter material
bark_willow_02,texture,polyhaven.com,CC0 1.0 Universal,58.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,flora/material,4,tree-bark scatter material
beam_wall_01,texture,polyhaven.com,CC0 1.0 Universal,8.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
beige_wall_001,texture,polyhaven.com,CC0 1.0,10.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
beige_wall_002,texture,polyhaven.com,CC0 1.0 Universal,3.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
bicolour_gravel,texture,polyhaven.com,CC0 1.0 Universal,70.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/path,4,gravel paths
blue_plaster_weathered,texture,polyhaven.com,CC0 1.0,36.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
box_profile_metal_sheet,texture,polyhaven.com,CC0 1.0 Universal,33.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
brick_4,texture,polyhaven.com,CC0 1.0 Universal,18.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_floor,texture,polyhaven.com,CC0 1.0 Universal,22.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_pavement,texture,polyhaven.com,CC0 1.0 Universal,50.4,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_001,texture,polyhaven.com,CC0 1.0,19.4,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_003,texture,polyhaven.com,CC0 1.0 Universal,36.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_006,texture,polyhaven.com,CC0 1.0 Universal,41.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_08,texture,polyhaven.com,CC0 1.0 Universal,44.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_11,texture,polyhaven.com,CC0 1.0 Universal,39.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brick_wall_13,texture,polyhaven.com,CC0 1.0 Universal,36.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
broken_brick_wall,texture,polyhaven.com,CC0 1.0,41.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brown_brick_02,texture,polyhaven.com,CC0 1.0 Universal,19.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
brown_mud,texture,polyhaven.com,CC0 1.0,30.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
brown_mud_02,texture,polyhaven.com,CC0 1.0 Universal,33.4,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
brown_mud_03,texture,polyhaven.com,CC0 1.0 Universal,28.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
brown_mud_dry,texture,polyhaven.com,CC0 1.0,39.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
brown_mud_leaves_01,texture,polyhaven.com,CC0 1.0,58.5,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
