source,class,order,family,genus,scientificName,vernacularName,occurrenceCount,iucnRedListCategory
GBIF,Mammalia,Chiroptera,Molossidae,Molossops,Molossops temminckii,Moloso pigmeo,20,
GBIF,Mammalia,Rodentia,Cricetidae,Akodon,Akodon montensis,Ratón selvático,20,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Little Yellow-Shouldered Bat,19,
GBIF,Mammalia,Chiroptera,Molossidae,Cynomops,Cynomops abrasus,Moloso rojizo,19,
GBIF,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys nigripes,Colilargo isleño,16,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Frutero de línea dorsal,16,
GBIF,Mammalia,Chiroptera,Molossidae,Nyctinomops,Nyctinomops laticaudatus,Moloso labios arrugados chico,15,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nigricans,Murcielaguito negruzco común,9,
GBIF,Mammalia,Chiroptera,Molossidae,Promops,Promops nasutus,Moloso cola larga chico,8,
GBIF,Mammalia,Rodentia,Cricetidae,Akodon,Akodon cursor,Cursor Grass Mouse,8,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Dasypterus,Dasypterus ega,Murciélago amarillo del sur,7,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus furinalis,Eptesicus de Argentina,7,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Murciélago lengüetón,6,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Pygoderma,Pygoderma bilabiatum,Murciélago de hombros blancos,6,
GBIF,Mammalia,Chiroptera,Molossidae,Promops,Promops centralis,Moloso cola larga grande,5,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Chrotopterus,Chrotopterus auritus,Falso vampiro orejón,5,
GBIF,Mammalia,Chiroptera,Molossidae,Eumops,Eumops bonariensis,Moloso orejas anchas pardo,4,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus borealis,Murciélago cola peluda rojizo,4,
GBIF,Mammalia,Artiodactyla,Cervidae,Mazama,Mazama gouazoubira,Cabra Silvestre,4,
GBIF,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis ruber,Murcielaguito rojo,3,
GBIF,Mammalia,Rodentia,Echimyidae,Thrichomys,Thrichomys apereoides,Common Punare,3,
GBIF,Mammalia,Chiroptera,Molossidae,Molossus,Molossus molossus,Moloso cola gruesa chico,3,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia brevicaudum,Murciélago frutero de la selva nublada,2,
GBIF,Mammalia,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,Perro Sabanero,2,
GBIF,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,Ek-such,2,
GBIF,Mammalia,Carnivora,Felidae,Puma,Puma yagouaroundi,jaguarundi,2,
GBIF,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,Conejo Tapetí,2,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,Comadreja Común,2,
GBIF,Mammalia,Didelphimorphia,Didelphidae,Philander,Philander frenatus,South-eastern Four-eyed,2,
