latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start
-25.631330594535306,-57.042766521257306,5306.4136,0.56103516,0.93901825,BEAM0001,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.63131315912928,-57.01778411580544,6092.0874,0.0,5.9051967,BEAM0010,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.63130553969478,-57.04239944940688,2759.1472,0.0,3.3996577,BEAM0001,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.63119976866071,-57.01783925709702,2641.1892,1.0083008,0.9575783,BEAM0010,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.631182705214027,-57.03668870964452,1254.6827,25.28833,0.9749624,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.631145789477383,-57.044995445553994,1173.7256,74.03845,0.98889405,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.6311253027745,-57.0250398864237,4868.8545,0.0,1.99958,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.6310524836128,-57.03459379693761,2749.4414,0.0,2.8582761,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.63079360500161,-57.03631700157832,1255.8745,33.3938,0.9801235,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.630775016815086,-57.033338408150314,4774.4326,26.243164,0.9666328,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.630727084397133,-57.04460591643555,1221.761,38.325806,0.9748557,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.630605013898265,-57.044249661562326,3640.8218,0.0,2.0134985,BEAM0001,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.630564276818973,-57.043504284439955,5284.184,1.1220703,0.9207783,BEAM0001,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.63053512482243,-57.01704095338832,6091.629,0.0,2.7905893,BEAM0010,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.630404699125766,-57.015774639602675,165.84604,13.075455,0.9704169,BEAM0110,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z
-25.63040194524476,-57.035943844630324,1261.1633,27.677734,0.98227245,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.630386697249865,-57.03370882080238,4773.8286,37.367676,0.9611271,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.63033739262977,-57.044233776349955,1223.6351,48.634888,0.9772784,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.630216201235097,-57.04462130769256,3640.6335,0.0,4.3289447,BEAM0001,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.630018068867066,-57.03246627314692,159.02577,24.628479,0.92369384,BEAM0010,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z
-25.630009533677715,-57.035570266003546,1267.672,39.629517,0.97722334,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.630009523251985,-57.034071119205635,4790.647,31.096191,0.96831495,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.629962578481503,-57.02614946362368,4868.7026,0.0,1.7552449,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.62996141242266,-57.043869877220985,1203.822,64.39856,0.9748616,BEAM1000,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.629888282518888,-57.03570718814111,2749.301,0.0,2.0002809,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.629864439599704,-57.0376271436189,7586.559,0.0,14.442848,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
