latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start,dem_elev_m,elev_highestreturn_m,canopy_from_dem_m,canopy_height_m_final
-25.638072085565582,-57.04213439044223,206.31625,0.0,2.857332,BEAM0010,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,141.0,206.31625,65.31625,65.31625
-25.63348489530608,-57.03733759927351,161.38806,18.781189,0.9285895,BEAM0011,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,156.0,180.169249,24.169249000000008,24.169249000000008
-25.63272234031169,-57.02987375083983,145.31084,16.431396,0.9150814,BEAM0010,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,136.0,161.74223600000002,25.74223600000002,25.74223600000002
-25.63210132317997,-57.04013682584249,151.60657,32.396652,0.96583194,BEAM0011,GEDI02_A_2022340103703_O22558_01_T02231_02_003_02_V002.h5,2022-12-06T10:37:03.000Z,147.0,184.003222,37.003221999999994,37.003221999999994
-25.63173328079625,-57.01840237541007,157.41858,10.818924,0.9143303,BEAM0010,GEDI02_A_2020124150548_O07879_04_T04229_02_003_01_V002.h5,2020-05-03T15:05:48.000Z,148.0,168.237504,20.237504,20.237504
-25.63152829539584,-57.02645767750765,144.51266,20.192856,0.98676103,BEAM1000,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z,134.0,164.70551600000002,30.705516000000017,30.705516000000017
-25.63040469912577,-57.01577463960268,165.84604,13.075455,0.9704169,BEAM0110,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z,154.0,178.921495,24.921494999999993,24.921494999999993
-25.630018068867063,-57.03246627314692,159.02577,24.628479,0.92369384,BEAM0010,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,153.0,183.654249,30.654248999999993,30.654248999999993
-25.6265636231972,-57.031458539067216,151.02435,9.957504,0.9785166,BEAM0011,GEDI02_A_2020124150548_O07879_04_T04229_02_003_01_V002.h5,2020-05-03T15:05:48.000Z,140.0,160.981854,20.981854,20.981854
-25.62475185552477,-57.02057949040004,207.28511,15.988037,0.9537912,BEAM0110,GEDI02_A_2024179150714_O31386_04_T09921_02_004_03_V002.h5,2024-06-27T15:07:14.000Z,185.0,223.273147,38.273146999999994,38.273146999999994
-25.624596254539448,-57.0376590285121,165.69287,11.103317,0.92476106,BEAM0010,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,153.0,176.796187,23.796187000000003,23.796187000000003
-25.623065229395294,-57.02519628298164,158.447,14.483948,0.9420887,BEAM0000,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,154.0,172.930948,18.930948,18.930948
-25.61978858325252,-57.01787924629855,272.91327,18.432037,0.9599789,BEAM0101,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z,268.0,291.345307,23.34530699999999,23.34530699999999
-25.617294489082,-57.03895190451407,244.96826,13.480499,0.90943164,BEAM0001,GEDI02_A_2024252101809_O32515_04_T07075_02_004_02_V002.h5,2024-09-08T10:18:09.000Z,232.0,258.448759,26.448758999999995,26.448758999999995
-25.615992887700315,-57.0413198769272,248.6049,17.045975,0.96973455,BEAM1000,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z,238.0,265.650875,27.650874999999985,27.650874999999985
