binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Kielmeyera sigillata,Calophyllaceae,Kielmeyera sigillata Saddi,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Kielmeyera tomentosa,Calophyllaceae,Kielmeyera tomentosa Cambess.,tree,new to AF,68,NA,49.4,widespread,Not in the AF,9,11,,,,,,,,,,
Kielmeyera variabilis,Calophyllaceae,Kielmeyera variabilis Mart. & Zucc.,tree,new to AF,216,NA,33.2,widespread,Not in the AF,45,115,,,,,,,,,,
Koanophyllon solidaginoides,Asteraceae,Koanophyllon solidaginoides (Kunth) R.M.King & H.Rob.,shrub,confirmed,131,NA,1.33,occasional,Not endemic,1,83,,,,,,,,,,
Koanophyllon tinctorium,Asteraceae,Koanophyllon tinctorium Arruda ex H.Kost.,shrub,confirmed,71,NA,68.29,widespread,Not endemic,33,12,,,,,,,,,,
Kuhlmanniodendron apterocarpum,Achariaceae,Kuhlmanniodendron apterocarpum (Kuhlm.) Fiaschi & Groppo,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,25,0,,,,,,,,,,
Kuhlmanniodendron macrocarpum,Achariaceae,"Kuhlmanniodendron macrocarpum Groppo, Favaretto & Fiaschi",tree,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Kutchubaea palustris,Rubiaceae,Kutchubaea palustris Ducke,tree,new to AF,7,NA,33.33,widespread,Not in the AF,1,2,,,,,,,,,,
Lachesiodendron viridiflorum,Fabaceae,Lachesiodendron viridiflorum (Kunth) P.G.Ribeiro et al.,tree,confirmed,331,NA,7.59,occasional,Not endemic,10,203,,,,,,,,,,
Lacistema aggregatum,Lacistemataceae,Lacistema aggregatum (P.J.Bergius) Rusby,tree,new to AF,716,NA,9.62,occasional,Not in the AF,6,585,,,,,,,,,,
Lacistema hasslerianum,Lacistemataceae,Lacistema hasslerianum Chodat,tree,new to AF,297,NA,42.81,widespread,Not in the AF,108,133,,,,,,,,,,
Lacistema lucidum,Lacistemataceae,Lacistema lucidum Schnizl.,tree,confirmed,102,NA,100.0,pure_endemic,Endemic,78,1,,,,,,,,,,
Lacistema pubescens,Lacistemataceae,Lacistema pubescens Mart.,tree,confirmed,178,NA,83.08,widespread,Not endemic,135,33,,,,,,,,,,
Lacistema robustum,Lacistemataceae,Lacistema robustum Schnizl.,tree,confirmed,84,NA,94.74,near_endemic,Not endemic,72,0,,,,,,,,,,
Lacistema serrulatum,Lacistemataceae,Lacistema serrulatum Mart.,tree,confirmed,12,NA,88.89,near_endemic,Not endemic,8,2,,,,,,,,,,
Lacmellea aculeata,Apocynaceae,Lacmellea aculeata (Ducke) Monach.,tree,probable occurrence in the AF,207,,,,,,,,,,,,,,,,
Lacmellea bahiensis,Apocynaceae,Lacmellea bahiensis J.F.Morales,tree,confirmed,23,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,
Lacmellea pauciflora,Apocynaceae,Lacmellea pauciflora (Kuhlm.) Markgr.,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,
Lacunaria crenata,Quiinaceae,Lacunaria crenata (Tul.) A.C.Sm.,tree,confirmed,155,NA,7.06,occasional,Not endemic,15,99,,,,,,,,,,
Ladenbergia hexandra,Rubiaceae,Ladenbergia hexandra (Pohl) Klotzsch,tree,confirmed,46,NA,96.3,near_endemic,Not endemic,28,1,,,,,,,,,,
Laetia americana,Salicaceae,Laetia americana L.,tree,probable occurrence in the AF,31,,,,,,,,,,,,,,,,
Lafoensia glyptocarpa,Lythraceae,Lafoensia glyptocarpa Koehne,tree,new to AF,22,NA,26.67,widespread,Not in the AF,3,11,,,,,,,,,,
Lafoensia pacari,Lythraceae,Lafoensia pacari A.St.-Hil.,tree,new to AF,268,NA,16.08,widespread,Not in the AF,69,133,,,,medicinal,,,,,,
Lafoensia vandelliana,Lythraceae,Lafoensia vandelliana Cham. & Schltdl.,tree,confirmed,257,NA,19.18,widespread,Not endemic,34,110,,,,,,,,,,
Laguncularia racemosa,Combretaceae,Laguncularia racemosa (L.) C.F.Gaertn.,tree,confirmed,2490,NA,48.54,widespread,Not endemic,577,957,,,,,,,,,,
Lamanonia chabertii,Cunoniaceae,Lamanonia chabertii (Pamp.) L.B.Sm.,tree,confirmed,18,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
