binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Cordia bicolor,Boraginaceae,Cordia bicolor A.DC.,tree,confirmed,287,NA,6.16,occasional,Not endemic,11,208,,,,timber,yes,,,,,
Cordia blanchetii,Boraginaceae,Cordia blanchetii A.DC.,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,
Cordia candida,Boraginaceae,Cordia candida Vell.,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,
Cordia ecalyculata,Boraginaceae,Cordia ecalyculata Vell.,tree,confirmed,356,NA,73.09,widespread,Endemic,227,41,,,,,,yes,iNat,1,,
Cordia exaltata,Boraginaceae,Cordia exaltata Lam.,tree,new to AF,148,NA,4.35,occasional,Not in the AF,3,112,,,,,,,,,,
Cordia fusca,Boraginaceae,Cordia fusca M.Stapf,tree,new to AF,7,NA,100.0,pure_endemic,NA,7,0,,,,,,,,,,
Cordia gardneri,Boraginaceae,Cordia gardneri I.M.Johnst.,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,
Cordia glabrata,Boraginaceae,Cordia glabrata (Mart.) A.DC.,tree,probable occurrence in the AF,205,,,,,,,,,,,,,,,,
Cordia glabrifolia,Boraginaceae,Cordia glabrifolia M.Stapf,tree,confirmed,71,NA,100.0,pure_endemic,Endemic,70,0,,,,,,,,,,
Cordia glazioviana,Boraginaceae,Cordia glazioviana (Taub.) Gottschling & J.S.Mill.,tree,new to AF,80,NA,8.33,occasional,Not in the AF,3,43,,,,,,,,,,
Cordia hatschbachii,Boraginaceae,Cordia hatschbachii J.S.Mill.,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,
Cordia incognita,Boraginaceae,Cordia incognita Gottschling & J.S.Mill.,tree,new to AF,74,NA,22.08,widespread,Not in the AF,6,32,,,,,,,,,,
Cordia insignis,Boraginaceae,Cordia insignis Cham.,tree,new to AF,120,NA,2.48,occasional,Not in the AF,1,89,,,,,,,,,,
Cordia latiloba,Boraginaceae,Cordia latiloba I.M.Johnst.,tree,confirmed,21,NA,90.91,near_endemic,Endemic,11,0,,,,,,,,,,
Cordia magnoliifolia,Boraginaceae,Cordia magnoliifolia Cham.,tree,confirmed,73,NA,90.48,near_endemic,Endemic,58,2,,,,,,,,,,
Cordia nodosa,Boraginaceae,Cordia nodosa Lam.,tree,confirmed,814,NA,14.58,widespread,Not endemic,79,567,,,,,,,,,,
Cordia ochnacea,Boraginaceae,Cordia ochnacea DC.,tree,probable occurrence in the AF,14,,,,,,,,,,,,,,,,
Cordia oncocalyx,Boraginaceae,Cordia oncocalyx Allemao,tree,new to AF,110,NA,5.88,occasional,Not in the AF,1,77,,,,timber,yes,,,,,
Cordia pilosa,Boraginaceae,Cordia pilosa M.Stapf & Taroda,shrub,confirmed,62,NA,100.0,pure_endemic,Endemic,61,0,,,,,,,,,,
Cordia restingae,Boraginaceae,Cordia restingae M.Stapf,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,
Cordia rufescens,Boraginaceae,Cordia rufescens A.DC.,tree,new to AF,328,NA,11.89,widespread,Not in the AF,44,169,,,,,,,,,,
Cordia sagotii,Boraginaceae,Cordia sagotii I.M.Johnst.,tree,new to AF,69,NA,8.11,occasional,Not in the AF,4,51,,,,timber,yes,,,,,
Cordia scabrifolia,Boraginaceae,Cordia scabrifolia A.DC.,tree,new to AF,96,NA,1.79,occasional,Not in the AF,1,81,,,,,,,,,,
Cordia sellowiana,Boraginaceae,Cordia sellowiana Cham.,tree,confirmed,247,NA,57.08,widespread,Not endemic,127,73,,,,,,,,,,
Cordia sericicalyx,Boraginaceae,Cordia sericicalyx A.DC.,tree,new to AF,68,NA,3.23,occasional,Not in the AF,4,37,,,,,,,,,,
Cordia silvestris,Boraginaceae,Cordia silvestris Fresen.,tree,confirmed,68,NA,85.37,widespread,Endemic,45,13,,,,,,,,,,
Cordia superba,Boraginaceae,Cordia superba Cham.,tree,confirmed,389,NA,81.15,widespread,Not endemic,226,49,,,,,,,,,,
Cordia taguahyensis,Boraginaceae,Cordia taguahyensis Vell.,tree,confirmed,203,NA,85.44,widespread,Not endemic,153,14,,,,,,,,,,
Cordia tarodae,Boraginaceae,Cordia tarodae M.Stapf,tree,new to AF,17,NA,82.14,widespread,Not in the AF,12,1,,,,,,,,,,
Cordia toqueve,Boraginaceae,Cordia toqueve Aubl.,tree,confirmed,123,NA,52.67,widespread,Not endemic,39,53,,,,,,,,,,
Cordia trachyphylla,Boraginaceae,Cordia trachyphylla Mart.,tree,confirmed,75,NA,83.05,widespread,Endemic,50,5,,,,,,,,,,
Cordia trichoclada,Boraginaceae,Cordia trichoclada DC.,tree,confirmed,124,NA,97.83,near_endemic,Endemic,101,1,,,,,,,,,,
Cordia trichotoma,Boraginaceae,Cordia trichotoma (Vell.) Arrab. ex Steud.,tree,confirmed,559,NA,43.57,widespread,Not endemic,223,192,en_peligro,Indeterminada (maybe LC),,timber,yes,yes,iNat,1,,
Cordiera bahiensis,Rubiaceae,Cordiera bahiensis C. Persson & Delprete,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,
Cordiera concolor,Rubiaceae,Cordiera concolor (Cham.) Kuntze,tree,confirmed,558,NA,50.63,widespread,Not endemic,227,154,,,,,,,,,,
Cordiera elliptica,Rubiaceae,Cordiera elliptica (Cham.) Kuntze,tree,new to AF,582,NA,23.63,widespread,Not in the AF,81,312,,,,,,,,,,
Cordiera humilis,Rubiaceae,Cordiera humilis (K.Schum.) Kuntze,shrub,new to AF,77,NA,3.6,occasional,Not in the AF,1,54,,,,,,,,,,
Cordiera longiflora,Rubiaceae,Cordiera longiflora (K.Schum.) Kuntze,tree?,confirmed,8,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Cordiera macrophylla,Rubiaceae,Cordiera macrophylla (K.Schum.) Kuntze,tree,new to AF,157,NA,1.67,occasional,Not in the AF,2,136,,,,,,,,,,
Cordiera myrciifolia,Rubiaceae,Cordiera myrciifolia (K.Schum.) C.H.Perss. & Delprete,tree,confirmed,575,NA,30.6,widespread,Not endemic,165,334,,,,,,,,,,
Cordiera obtusa,Rubiaceae,Cordiera obtusa (K.Schum.) Kuntze,shrub,new to AF,206,NA,59.49,widespread,Not in the AF,94,66,,,,,,,,,,
Cordiera rigida,Rubiaceae,Cordiera rigida (K.Schum.) Kuntze,shrub,new to AF,390,NA,5.72,occasional,Not in the AF,11,290,,,,,,,,,,
Cordiera sessilis,Rubiaceae,Cordiera sessilis (Vell.) Kuntze,tree,new to AF,707,NA,7.96,occasional,Not in the AF,39,530,,,,,,,,,,
Cordiera vinosa,Rubiaceae,Cordiera vinosa (Cham.) Kuntze,shrub,confirmed,11,NA,83.33,widespread,Not endemic,5,1,,,,,,,,,,
Cordyline spectabilis,Laxmanniaceae,Cordyline spectabilis Kunth & Bouche,tree,confirmed,276,NA,,,,,,,,,,,,,,,
Coriaria ruscifolia,,Coriaria ruscifolia,,in AR list but not in AF checklist,0,,,,,,,,Indeterminada,,,,,,,,
Couepia belemii,Chrysobalanaceae,Couepia belemii Prance,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,
Couepia bondarii,Chrysobalanaceae,Couepia bondarii Prance,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Couepia carautae,Chrysobalanaceae,Couepia carautae Prance,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Couepia coarctata,Chrysobalanaceae,Couepia coarctata Prance,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Couepia grandiflora,Chrysobalanaceae,Couepia grandiflora (Mart. & Zucc.) Benth.,tree,new to AF,232,NA,7.45,occasional,Not in the AF,14,155,,,,,,,,,,
Couepia impressa,Chrysobalanaceae,Couepia impressa Prance,tree,confirmed,56,NA,95.18,near_endemic,Endemic,43,1,,,,,,,,,,
Couepia insignis,Chrysobalanaceae,Couepia insignis Fritsch,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Couepia leitaofilhoi,Chrysobalanaceae,Couepia leitaofilhoi Prance,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,
Couepia longipetiolata,Chrysobalanaceae,Couepia longipetiolata Prance,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Couepia meridionalis,Chrysobalanaceae,Couepia meridionalis Prance,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,
Couepia monteclarensis,Chrysobalanaceae,Couepia monteclarensis Prance,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,
Couepia ovalifolia,Chrysobalanaceae,Couepia ovalifolia (Schott) Benth. ex Hook.f.,tree,confirmed,90,NA,98.37,near_endemic,Not endemic,70,2,,,,,,,,,,
Couepia parvifolia,Chrysobalanaceae,Couepia parvifolia Prance,tree,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,
Couepia pernambucensis,Chrysobalanaceae,Couepia pernambucensis Prance,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Couepia robusta,Chrysobalanaceae,Couepia robusta Huber,tree,new to AF,57,NA,6.38,occasional,Not in the AF,3,49,,,,timber,yes,,,,,
Couepia rufa,Chrysobalanaceae,Couepia rufa Ducke,tree,confirmed,34,NA,100.0,pure_endemic,Endemic,26,0,,,,,,,,,,
Couepia schottii,Chrysobalanaceae,Couepia schottii Fritsch,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,
Couepia uiti,Chrysobalanaceae,Couepia uiti (Mart. & Zucc.) Benth. ex Hook.f.,tree,new to AF,87,NA,8.99,occasional,Not in the AF,3,45,,,,,,,,,,
Couepia venosa,Chrysobalanaceae,Couepia venosa Prance,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,17,0,,,,,,,,,,
Couma macrocarpa,Apocynaceae,Couma macrocarpa Barb.Rodr.,tree,confirmed,247,NA,0.72,occasional,Not endemic,1,176,,,,timber,yes,,,,,
Couma rigida,Apocynaceae,Couma rigida Mull.Arg.,tree,new to AF,55,NA,70.97,widespread,Not in the AF,29,10,,,,,,,,,,
Couma utilis,Apocynaceae,Couma utilis (Mart.) Mull.Arg.,tree,new to AF,150,NA,1.05,occasional,Not in the AF,1,125,,,,,,,,,,
Couratari asterophora,Lecythidaceae,Couratari asterophora Rizzini,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,
Couratari asterotricha,Lecythidaceae,Couratari asterotricha Prance,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,
Couratari guianensis,Lecythidaceae,Couratari guianensis Aubl.,tree,new to AF,317,NA,1.05,occasional,Not in the AF,2,250,,,,timber,yes,,,,,
Couratari macrosperma,Lecythidaceae,Couratari macrosperma A.C.Sm.,tree,confirmed,157,NA,52.71,widespread,Not endemic,71,67,,,,timber,yes,,,,,
Couratari pyramidata,Lecythidaceae,Couratari pyramidata (Vell.) Kunth,tree,confirmed,32,NA,100.0,pure_endemic,Endemic,28,0,,,,,,,,,,
Couroupita guianensis,Lecythidaceae,Couroupita guianensis Aubl.,tree,new to AF,232,cultivated,15.58,widespread,Not in the AF,21,111,,,,food | ornamental | timber,yes,,,,,
Coursetia caatingicola,Fabaceae,Coursetia caatingicola L.P.Queiroz,shrub,new to AF,21,NA,48.0,widespread,Not in the AF,5,5,,,,,,,,,,
Coursetia ferruginea,Fabaceae,Coursetia ferruginea (Kunth) Lavin,tree,new to AF,65,NA,11.43,widespread,Not in the AF,4,33,,,,,,,,,,
Coursetia hassleri,Fabaceae,Coursetia hassleri Chodat,shrub,probable occurrence in the AF,60,,,,,,,,,,,,,,,,
Coursetia rostrata,Fabaceae,Coursetia rostrata Benth.,tree,new to AF,114,NA,6.29,occasional,Not in the AF,2,57,,,,,,,,,,
Coursetia vicioides,Fabaceae,Coursetia vicioides (Nees & Mart.) Benth.,tree,new to AF,10,NA,87.5,widespread,Not in the AF,3,0,,,,,,,,,,
Coussapoa curranii,Urticaceae,Coussapoa curranii S.F.Blake,tree,confirmed,33,NA,96.15,near_endemic,Not endemic,26,1,,,,,,,,,,
Coussapoa floccosa,Urticaceae,Coussapoa floccosa Akkermans & C.C.Berg,tree,confirmed,17,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,
Coussapoa microcarpa,Urticaceae,Coussapoa microcarpa (Schott) Rizzini,tree,confirmed,453,NA,96.84,near_endemic,Not endemic,405,3,,,,,,,,,,
Coussapoa pachyphylla,Urticaceae,Coussapoa pachyphylla Akkermans & C.C.Berg,tree,confirmed,19,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,
Coussarea accedens,Rubiaceae,Coussarea accedens Mull.Arg.,tree,confirmed,58,NA,100.0,pure_endemic,Endemic,57,0,,,,,,,,,,
Coussarea albescens,Rubiaceae,Coussarea albescens (DC.) Mull.Arg.,tree,confirmed,111,NA,9.64,occasional,Not endemic,8,80,,,,,,,,,,
Coussarea andrei,Rubiaceae,Coussarea andrei M.S.Pereira & M.R.V.Barbosa,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,
Coussarea bocainae,Rubiaceae,Coussarea bocainae M.Gomes,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Coussarea capitata,Rubiaceae,Coussarea capitata (Benth.) Mull.Arg.,tree,confirmed,46,NA,91.67,near_endemic,Endemic,33,2,,,,,,,,,,
Coussarea coffeoides,Rubiaceae,Coussarea coffeoides Mull.Arg.,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,
Coussarea congestiflora,Rubiaceae,Coussarea congestiflora Mull.Arg.,tree,confirmed,43,NA,95.08,near_endemic,Endemic,28,0,,,,,,,,,,
Coussarea contracta,Rubiaceae,Coussarea contracta (Walp.) Mull.Arg.,tree,confirmed,550,NA,83.81,widespread,Not endemic,329,51,,,,,,,,,,
Coussarea friburgensis,Rubiaceae,Coussarea friburgensis M.Gomes,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,
Coussarea graciliflora,Rubiaceae,Coussarea graciliflora (Mart.) Mull.Arg.,shrub,confirmed,86,NA,100.0,pure_endemic,Endemic,62,0,,,,,,,,,,
Coussarea hydrangeifolia,Rubiaceae,Coussarea hydrangeifolia (Benth.) Mull.Arg.,tree,confirmed,720,NA,7.04,occasional,Not endemic,36,528,,,,,,,,,,
Coussarea ilheotica,Rubiaceae,Coussarea ilheotica Mull.Arg.,tree,confirmed,78,NA,100.0,pure_endemic,Endemic,52,0,,,,,,,,,,
Coussarea leptopus,Rubiaceae,Coussarea leptopus Mull.Arg.,tree,confirmed,20,NA,96.3,near_endemic,Endemic,12,0,,,,,,,,,,
Coussarea macrophylla,Rubiaceae,Coussarea macrophylla (Mart.) Mull.Arg.,shrub,new to AF,69,NA,1.85,occasional,Not in the AF,1,53,,,,,,,,,,
Coussarea megistophylla,Rubiaceae,Coussarea megistophylla Standl.,tree,confirmed,7,NA,66.67,widespread,Endemic,3,1,,,,,,,,,,
Coussarea meridionalis,Rubiaceae,Coussarea meridionalis (Vell.) Mull.Arg.,tree,confirmed,100,NA,100.0,pure_endemic,Endemic,92,0,,,,,,,,,,
Coussarea nodosa,Rubiaceae,Coussarea nodosa (Benth.) Mull.Arg.,shrub,confirmed,112,NA,100.0,pure_endemic,Endemic,97,0,,,,,,,,,,
Coussarea paniculata,Rubiaceae,Coussarea paniculata (Vahl) Standl.,tree,new to AF,299,NA,1.02,occasional,Not in the AF,2,207,,,,,,,,,,
Coussarea platyphylla,Rubiaceae,Coussarea platyphylla Mull.Arg.,tree,confirmed,188,NA,14.34,widespread,Not endemic,27,109,,,,,,,,,,
Coussarea speciosa,Rubiaceae,Coussarea speciosa K.Schum. ex M. Gomes,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,
Coussarea strigosipes,Rubiaceae,Coussarea strigosipes Mull.Arg.,tree,confirmed,23,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,
Coussarea verticillata,Rubiaceae,Coussarea verticillata Mull.Arg.,tree,confirmed,28,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,
Coussarea violacea,Rubiaceae,Coussarea violacea Aubl.,tree,confirmed,40,NA,7.69,occasional,Not endemic,2,25,,,,,,,,,,
Coussarea viridis,Rubiaceae,Coussarea viridis Mull.Arg.,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Coutarea hexandra,Rubiaceae,Coutarea hexandra (Jacq.) K.Schum.,tree,confirmed,1027,NA,39.65,widespread,Not endemic,302,472,,,,timber,yes,,,,,
Crateva tapia,Capparaceae,Crateva tapia L.,tree,confirmed,2270,NA,16.72,widespread,Not endemic,266,1473,,,,,,,,,,
Cratylia argentea,Fabaceae,Cratylia argentea (Desv.) Kuntze,shrub,new to AF,324,NA,8.05,occasional,Not in the AF,20,219,,,,fodder,,,,,,
Cratylia mollis,Fabaceae,Cratylia mollis Mart. ex Benth.,shrub,new to AF,184,NA,3.6,occasional,Not in the AF,3,121,,,,fodder,,,,,,
Crinodendron brasiliense,Elaeocarpaceae,Crinodendron brasiliense Reitz & L.B.Sm.,tree,confirmed,33,NA,100.0,pure_endemic,Endemic,33,0,,,,,,,,,,
Crinodendron hookerianum,,Crinodendron hookerianum,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,,,,,
Crinodendron tucumanum,,Crinodendron tucumanum,,in AR list but not in AF checklist,0,,,,,,,,Rare,,,,,,,,
Critonia morifolia,Asteraceae,Critonia morifolia (Mill.) R.M.King & H.Rob.,shrub,new to AF,465,NA,26.45,widespread,Not in the AF,73,268,,,,,,,,,,
Critoniopsis magdalenae,Asteraceae,Critoniopsis magdalenae (G.M.Barroso) H.Rob.,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Critoniopsis quinqueflora,Asteraceae,Critoniopsis quinqueflora (Less.) H.Rob.,tree,confirmed,160,NA,94.23,near_endemic,Endemic,143,2,,,,,,,,,,
Critoniopsis stellata,Asteraceae,Critoniopsis stellata (Spreng.) H.Rob.,tree,confirmed,41,NA,100.0,pure_endemic,Endemic,31,0,,,,,,,,,,
Croton adamantinus,Euphorbiaceae,Croton adamantinus Mull.Arg.,shrub,new to AF,191,NA,13.48,widespread,Not in the AF,10,123,,,,,,,,,,
Croton agoensis,Euphorbiaceae,Croton agoensis Baill.,tree,probable occurrence in the AF,68,,,,,,,,,,,,,,,,
Croton alchorneicarpus,Euphorbiaceae,Croton alchorneicarpus Croizat,tree,confirmed,59,NA,100.0,pure_endemic,Endemic,47,0,,,,,,,,,,
Croton anisodontus,Euphorbiaceae,Croton anisodontus Mull.Arg.,shrub,confirmed,35,NA,10.64,widespread,Endemic,1,23,,,,,,,,,,
Croton argyrophyllus,Euphorbiaceae,Croton argyrophyllus Kunth,shrub,new to AF,120,NA,7.23,occasional,Not in the AF,4,81,,,,,,,,,,
Croton blanchetianus,Euphorbiaceae,Croton blanchetianus Baill.,tree,new to AF,478,NA,4.17,occasional,Not in the AF,12,357,,,,,,,,,,
Croton campanulatus,Euphorbiaceae,Croton campanulatus Caruzo & Cordeiro,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,
Croton campestris,Euphorbiaceae,Croton campestris A.St.-Hil.,shrub,confirmed,440,NA,28.42,widespread,Not endemic,51,188,,,,,,,,,,
Croton celtidifolius,Euphorbiaceae,Croton celtidifolius Baill.,tree,confirmed,243,NA,90.97,near_endemic,Endemic,190,10,,,,medicinal,,,,,,
Croton compressus,Euphorbiaceae,Croton compressus Lam.,shrub,confirmed,76,NA,100.0,pure_endemic,Endemic,55,0,,,,,,,,,,
Croton conduplicatus,Euphorbiaceae,Croton conduplicatus Kunth,shrub,new to AF,48,NA,7.32,occasional,Not in the AF,1,21,,,,,,,,,,
Croton confinis,Euphorbiaceae,Croton confinis L.B.Sm. & Downs,shrub,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Croton echinocarpus,Euphorbiaceae,Croton echinocarpus Mull.Arg.,tree,confirmed,44,NA,84.13,widespread,Endemic,27,3,,,,,,,,,,
Croton eichleri,Euphorbiaceae,Croton eichleri Mull.Arg.,tree,confirmed,14,NA,80.0,widespread,Endemic,5,1,,,,,,,,,,
Croton floribundus,Euphorbiaceae,Croton floribundus Spreng.,tree,confirmed,485,NA,82.92,widespread,Endemic,354,46,,,,,,,,,,
Croton gracilipes,Euphorbiaceae,Croton gracilipes Baill.,tree,confirmed,276,NA,10.61,widespread,Not endemic,19,203,,,,,,yes,GBIF,25,,
Croton grewioides,Euphorbiaceae,Croton grewioides Baill.,shrub,new to AF,292,NA,9.2,occasional,Not in the AF,19,188,,,,,,,,,,
Croton heliotropiifolius,Euphorbiaceae,Croton heliotropiifolius Kunth,shrub,confirmed,1224,NA,24.22,widespread,Not endemic,189,682,,,,,,,,,,
Croton hemiargyreus,Euphorbiaceae,Croton hemiargyreus Mull.Arg.,tree,confirmed,39,NA,71.43,widespread,Endemic,10,3,,,,,,,,,,
Croton heterocalyx,Euphorbiaceae,Croton heterocalyx Baill.,shrub,confirmed,26,NA,100.0,pure_endemic,Endemic,11,0,,,,,,,,,,
Croton jacobinensis,Euphorbiaceae,Croton jacobinensis Baill.,tree,new to AF,224,NA,22.83,widespread,Not in the AF,22,131,,,,timber,yes,,,,,
Croton lagoensis,Euphorbiaceae,Croton lagoensis Mull.Arg.,tree,confirmed,11,NA,44.44,widespread,Not endemic,2,2,,,,,,,,,,
Croton landoltii,,Croton landoltii,,in AR list but not in AF checklist,0,,,,,,,,,"cat4: Plantas restringidas a una sola provincia política, o con áreas reducidas ",,,,,,,
Croton laureltyanus,,Croton laureltyanus,,in AR list but not in AF checklist,0,,,,,,,,,cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones esc,,,,,,,
Croton limae,Euphorbiaceae,"Croton limae A.P. Gomes, M.F. Sales P.E. Berry",tree,new to AF,47,NA,21.43,widespread,Not in the AF,6,20,,,,,,,,,,
Croton luetzelburgii,Euphorbiaceae,Croton luetzelburgii Pax & K.Hoffm.,shrub,new to AF,60,NA,75.71,widespread,Not in the AF,15,0,,,,,,,,,,
Croton macrobothrys,Euphorbiaceae,Croton macrobothrys Baill.,tree,confirmed,115,NA,100.0,pure_endemic,Endemic,105,1,,,,,,,,,,
Croton matourensis,Euphorbiaceae,Croton matourensis Aubl.,tree,new to AF,286,NA,0.53,occasional,Not in the AF,1,244,,,,,,,,,,
Croton medusae,Euphorbiaceae,Croton medusae Mull.Arg.,tree,confirmed,12,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Croton micans,Euphorbiaceae,Croton micans Sw.,shrub,new to AF,63,NA,4.92,occasional,Not in the AF,1,33,,,,,,,,,,
Croton nepetifolius,Euphorbiaceae,Croton nepetifolius Baill.,shrub,new to AF,169,NA,15.79,widespread,Not in the AF,11,94,,,,,,,,,,
Croton oliganthus,Euphorbiaceae,Croton oliganthus Mull.Arg.,tree,confirmed,7,NA,75.0,widespread,Endemic,3,1,,,,,,,,,,
Croton organensis,Euphorbiaceae,Croton organensis Baill.,tree,confirmed,48,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,
Croton palanostigma,Euphorbiaceae,Croton palanostigma Klotzsch,tree,new to AF,169,NA,0.83,occasional,Not in the AF,1,130,,,,,,,,,,
Croton piptocalyx,Euphorbiaceae,Croton piptocalyx Mull.Arg.,tree,confirmed,65,NA,90.41,near_endemic,Not endemic,31,2,,,,,,,,,,
Croton polyandrus,Euphorbiaceae,Croton polyandrus Spreng.,shrub,confirmed,137,NA,98.23,near_endemic,Not endemic,124,5,,,,,,,,,,
Croton priscus,Euphorbiaceae,Croton priscus Croizat,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,12,0,,,,,,,,,,
Croton pseudopopulus,Euphorbiaceae,Croton pseudopopulus Baill.,tree,confirmed,9,NA,66.67,widespread,Endemic,3,1,,,,,,,,,,
Croton pulegiodorus,Euphorbiaceae,Croton pulegiodorus Baill.,shrub,new to AF,127,NA,25.79,widespread,Not in the AF,16,48,,,,,,,,,,
Croton rottlerifolius,Euphorbiaceae,Croton rottlerifolius Baill.,tree,confirmed,50,NA,38.1,widespread,Endemic,12,18,,,,,,,,,,
Croton rufoargenteus,Euphorbiaceae,Croton rufoargenteus Mull.Arg.,tree,new to AF,2,NA,100.0,pure_endemic,Not in the AF,1,0,,,,,,,,,,
Croton salutaris,Euphorbiaceae,Croton salutaris Casar.,tree,confirmed,47,NA,91.36,near_endemic,Endemic,37,3,,,,,,,,,,
Croton santolinus,,Croton santolinus,,in AR list but not in AF checklist,0,,,,,,,,,cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones esc,,,,,,,
Croton sapiifolius,Euphorbiaceae,Croton sapiifolius Mull.Arg.,tree,confirmed,21,NA,100.0,pure_endemic,Endemic,16,0,,,,,,,,,,
Croton sellowii,Euphorbiaceae,Croton sellowii Baill.,shrub,confirmed,323,NA,97.43,near_endemic,Not endemic,276,4,,,,,,,,,,
Croton sincorensis,Euphorbiaceae,Croton sincorensis Mart.,shrub,new to AF,55,NA,92.68,near_endemic,Not in the AF,36,2,,,,,,,,,,
Croton sphaerogynus,Euphorbiaceae,Croton sphaerogynus Baill.,shrub,confirmed,60,NA,96.39,near_endemic,Endemic,42,2,,,,,,,,,,
Croton tetradenius,Euphorbiaceae,Croton tetradenius Baill.,shrub,confirmed,178,NA,35.6,widespread,Not endemic,30,77,,,,,,,,,,
Croton thomasii,Euphorbiaceae,Croton thomasii Riina & P.E. Berry,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,
Croton tricolor,Euphorbiaceae,Croton tricolor Klotzsch ex Baill.,shrub,confirmed,233,NA,25.86,widespread,Not endemic,25,115,,,,,,,,,,
Croton urticifolius,Euphorbiaceae,Croton urticifolius Lam.,shrub,confirmed,196,NA,45.58,widespread,Not endemic,55,71,,,,,,,,,,
Croton urucurana,Euphorbiaceae,Croton urucurana Baill.,tree,confirmed,461,NA,40.21,widespread,Not endemic,167,182,,,,medicinal,,yes,iNat,1,,
Croton vulnerarius,Euphorbiaceae,Croton vulnerarius Baill.,tree,confirmed,124,NA,94.38,near_endemic,Endemic,88,1,,,,,,,,,,
Crudia bracteata,Fabaceae,Crudia bracteata Benth.,tree,new to AF,14,NA,9.09,occasional,Not in the AF,1,10,,,,,,,,,,
Crudia tomentosa,Fabaceae,Crudia tomentosa (Aubl.) J.F.Macbr.,tree,new to AF,20,NA,7.14,occasional,Not in the AF,1,16,,,,,,,,,,
Cryptocarya aschersoniana,Lauraceae,Cryptocarya aschersoniana Mez,tree,confirmed,319,NA,94.95,near_endemic,Endemic,268,13,,,,,,,,,,
Cryptocarya botelhensis,Lauraceae,Cryptocarya botelhensis P.L.R.Moraes,tree,confirmed,28,NA,96.3,near_endemic,Endemic,26,0,,,,,,,,,,
Cryptocarya citriformis,Lauraceae,Cryptocarya citriformis (Vell.) P.L.R.Moraes,tree,confirmed,22,NA,100.0,pure_endemic,Endemic,20,0,,,,,,,,,,
