year_month,ET0_mm_sum,n_days
2023-11,128.57,30
2023-12,140.51,31
2024-01,174.97,31
2024-02,146.12,29
2024-03,145.55,31
2024-04,81.98,30
2024-05,50.26,31
2024-06,56.01,30
2024-07,48.61,31
2024-08,69.30,31
2024-09,93.51,30
2024-10,127.61,31
2024-11,157.74,30
2024-12,163.71,31
2025-01,193.98,31
2025-02,165.49,28
2025-03,137.15,31
2025-04,88.88,30
2025-05,72.25,31
2025-06,39.69,30
2025-07,55.39,31
2025-08,71.40,31
2025-09,92.90,30
2025-10,116.08,31
2025-11,150.09,30
2025-12,155.29,31
