binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Parkia panurensis,Fabaceae,Parkia panurensis Benth. ex H.C.Hopkins,tree,new to AF,93,NA,1.64,occasional,Not in the AF,1,72,,,,,,,,,,,1
Peltogyne confertiflora,Fabaceae,Peltogyne confertiflora (Mart. ex Hayne) Benth.,tree,confirmed,189,NA,11.85,widespread,Not endemic,14,125,,,,,,,,,,,1
Peltogyne pauciflora,Fabaceae,Peltogyne pauciflora Benth.,tree,new to AF,119,NA,15.28,widespread,Not in the AF,14,63,,,,,,,,,,,1
Persea aurata,Lauraceae,Persea aurata Miq.,tree,confirmed,67,NA,39.56,widespread,Not endemic,17,27,,,,,,,,,,,1
Persea fulva,Lauraceae,Persea fulva L.E.Kopp,tree,confirmed,84,NA,67.5,widespread,Not endemic,23,5,,,,,,,,,,,1
Persea glabra,Lauraceae,Persea glabra van der Werff,tree,probable occurrence in the AF,9,,,,,,,,,,,,,,,,,1
Persea punctata,Lauraceae,Persea punctata Meisn.,tree,probable occurrence in the AF,12,,,,,,,,,,,,,,,,,1
Persea rufotomentosa,Lauraceae,Persea rufotomentosa Nees & Mart.,tree,confirmed,75,NA,33.65,widespread,Not endemic,17,31,,,,,,,,,,,1
Persea splendens,Lauraceae,Persea splendens Meisn.,tree,new to AF,35,NA,35.29,widespread,Not in the AF,9,16,,,,,,,,,,,1
Persea venosa,Lauraceae,Persea venosa Nees & Mart.,tree,confirmed,203,NA,77.4,widespread,Not endemic,114,31,,,,,,,,,,,1
Persea willdenovii,Lauraceae,Persea willdenovii Kosterm.,tree,confirmed,380,NA,81.96,widespread,Not endemic,249,47,,,,,,,,,,,1
Phyllostemonodaphne geminiflora,Lauraceae,Phyllostemonodaphne geminiflora (Mez) Kosterm.,tree,confirmed,120,NA,55.67,widespread,Endemic,54,44,,,,,,,,,,,1
Physocalymma scaberrimum,Lythraceae,Physocalymma scaberrimum Pohl,tree,new to AF,674,NA,2.94,occasional,Not in the AF,15,478,,,,ornamental,,,,,,,1
Phytolacca dioica,Phytolaccaceae,Phytolacca dioica L.,tree,confirmed,801,NA,77.46,widespread,Endemic,373,193,,,,fodder | medicinal | ornamental | poison,,,,,,,1
Pimenta pseudocaryophyllus,Myrtaceae,Pimenta pseudocaryophyllus (Gomes) Landrum,tree,confirmed,501,NA,86.03,widespread,Not endemic,362,44,,,,,,,,,,,1
Piptadenia macradenia,Fabaceae,Piptadenia macradenia Benth.,tree,new to AF,40,NA,8.57,occasional,Not in the AF,1,17,,,,,,,,,,,1
Piptadenia stipulacea,Fabaceae,Piptadenia stipulacea (Benth.) Ducke,tree,new to AF,661,NA,7.55,occasional,Not in the AF,34,515,,,,,,,,,,,1
Pithecellobium diversifolium,Fabaceae,Pithecellobium diversifolium Benth.,tree,new to AF,123,NA,2.31,occasional,Not in the AF,2,79,,,,,,,,,,,1
Pityrocarpa obliqua,Fabaceae,Pityrocarpa obliqua (Pers.) Brenan,tree,new to AF,140,NA,9.09,occasional,Not in the AF,7,90,,,,,,,,,,,1
Platycyamus regnellii,Fabaceae,Platycyamus regnellii Benth.,tree,confirmed,135,NA,81.53,widespread,Not endemic,82,16,,,,,,,,,,,1
Platymiscium floribundum,Fabaceae,Platymiscium floribundum Vogel,tree,confirmed,513,NA,65.3,widespread,Not endemic,254,123,,,,,,,,,,,1
Platymiscium pubescens,Fabaceae,Platymiscium pubescens Micheli,tree,new to AF,102,NA,43.3,widespread,Not in the AF,25,42,,,,,,,,,,,1
Platypodium elegans,Fabaceae,Platypodium elegans Vogel,tree,confirmed,2018,NA,31.09,widespread,Not endemic,483,900,,,,,,,,,,,1
Pleroma granulosum,Melastomataceae,Pleroma granulosum (Desr.) D. Don,tree,confirmed,240,cultivated,79.36,widespread,Endemic,162,45,,,,ornamental,,,,,,,1
Pleurothyrium amplifolium,Lauraceae,Pleurothyrium amplifolium (Mez) Rohwer,tree,confirmed,15,NA,85.71,widespread,Endemic,6,1,,,,,,,,,,,1
Plinia coronata,Myrtaceae,Plinia coronata (Mattos) Mattos,tree,probable occurrence in the AF,5,,,,,,,,,,,,,,,,,1
Plinia espinhacensis,Myrtaceae,Plinia espinhacensis Sobral,tree,probable occurrence in the AF,7,,,,,,,,,,,,,,,,,1
Plinia involucrata,Myrtaceae,Plinia involucrata (O.Berg) McVaugh,tree,new to AF,9,NA,26.67,widespread,Not in the AF,2,5,,,,,,,,,,,1
Plinia pseudodichasiantha,Myrtaceae,Plinia pseudodichasiantha (Kiaersk.) G.M.Barroso ex Sobral,tree,confirmed,2,NA,,,,,,,,,,,,,,,,1
Poecilanthe falcata,Fabaceae,Poecilanthe falcata (Vell.) Heringer,tree,confirmed,81,NA,82.98,widespread,Endemic,58,13,,,,,,,,,,,1
Poecilanthe grandiflora,Fabaceae,Poecilanthe grandiflora Benth.,tree,confirmed,28,NA,18.52,widespread,Not endemic,5,22,,,,,,,,,,,1
Poecilanthe parviflora,Fabaceae,Poecilanthe parviflora Benth.,tree,confirmed,90,NA,81.01,widespread,Endemic,51,5,,,,,,,,,,,1
Poecilanthe subcordata,Fabaceae,Poecilanthe subcordata Benth.,tree,new to AF,14,NA,42.86,widespread,Not in the AF,1,3,,,,,,,,,,,1
Poecilanthe ulei,Fabaceae,Poecilanthe ulei (Harms) Arroyo & Rudd,tree,confirmed,133,NA,41.4,widespread,Not endemic,36,48,,,,,,,,,,,1
Poeppigia procera,Fabaceae,Poeppigia procera C.Presl,tree,confirmed,334,NA,12.59,widespread,Not endemic,25,179,,,,,,,,,,,1
