feature_id,lon,lat,elevation_m,slope_pct,rock_score,rock_type_guess,tree_cover_pct
R0042,-57.015416666649514,-25.615138888904486,297.0,0.6,1.0,Outcrop,0
R0043,-57.01513888887173,-25.615138888904486,299.0,0.2,1.0,Outcrop,0
R0044,-57.03708333331618,-25.615416666682265,188.0,0.4,1.0,Outcrop,0
R0045,-57.0368055555384,-25.615416666682265,194.0,0.5,1.0,Outcrop,0
R0046,-57.02652777776063,-25.615416666682265,179.0,0.9,1.0,Outcrop,0
R0047,-57.026249999982845,-25.615416666682265,185.0,0.8,1.0,Outcrop,0
R0048,-57.02597222220507,-25.615416666682265,188.0,0.5,1.0,Outcrop,0
R0049,-57.02569444442729,-25.615416666682265,187.0,0.5,1.0,Outcrop,0
R0050,-57.02541666664951,-25.615416666682265,189.0,0.2,1.0,Outcrop,0
R0051,-57.02513888887174,-25.615416666682265,190.0,0.2,1.0,Outcrop,0
R0052,-57.024861111093955,-25.615416666682265,190.0,0.2,1.0,Outcrop,0
R0053,-57.02458333331618,-25.615416666682265,192.0,0.3,1.0,Outcrop,0
R0054,-57.024305555538405,-25.615416666682265,194.0,0.5,1.0,Outcrop,0
R0055,-57.02402777776062,-25.615416666682265,199.0,0.4,1.0,Outcrop,0
R0056,-57.02374999998285,-25.615416666682265,200.0,0.4,1.0,Outcrop,0
R0057,-57.023472222205065,-25.615416666682265,201.0,0.5,1.0,Outcrop,0
R0058,-57.02319444442729,-25.615416666682265,206.0,0.6,1.0,Outcrop,0
R0059,-57.022916666649515,-25.615416666682265,208.0,0.3,1.0,Outcrop,0
R0060,-57.02263888887173,-25.615416666682265,209.0,0.4,1.0,Outcrop,0
R0061,-57.02236111109396,-25.615416666682265,212.0,0.5,1.0,Outcrop,0
R0062,-57.02208333331618,-25.615416666682265,216.0,0.5,1.0,Outcrop,0
R0063,-57.0218055555384,-25.615416666682265,219.0,0.4,1.0,Outcrop,0
R0064,-57.021527777760625,-25.615416666682265,220.0,0.4,1.0,Outcrop,0
R0065,-57.02124999998284,-25.615416666682265,221.0,0.6,1.0,Outcrop,0
R0066,-57.02097222220507,-25.615416666682265,224.0,0.7,1.0,Outcrop,0
R0067,-57.02069444442729,-25.615416666682265,227.0,0.6,1.0,Outcrop,0
R0068,-57.02041666664951,-25.615416666682265,228.0,0.4,1.0,Outcrop,0
R0069,-57.020138888871735,-25.615416666682265,232.0,0.5,1.0,Outcrop,0
R0070,-57.01986111109396,-25.615416666682265,236.0,0.7,1.0,Outcrop,0
R0071,-57.01958333331618,-25.615416666682265,238.0,0.8,1.0,Outcrop,0
R0072,-57.0193055555384,-25.615416666682265,239.0,0.7,1.0,Outcrop,0
R0073,-57.01902777776062,-25.615416666682265,244.0,0.7,1.0,Outcrop,0
R0074,-57.018749999982845,-25.615416666682265,249.0,0.7,1.0,Outcrop,0
R0075,-57.01847222220507,-25.615416666682265,254.0,0.5,1.0,Outcrop,0
R0076,-57.01819444442729,-25.615416666682265,254.0,0.4,1.0,Outcrop,0
R0077,-57.01791666664951,-25.615416666682265,258.0,0.5,1.0,Outcrop,0
R0078,-57.01763888887174,-25.615416666682265,262.0,0.3,1.0,Outcrop,0
R0079,-57.017361111093955,-25.615416666682265,262.0,0.2,1.0,Outcrop,0
