species,kingdom,family,genus,decimalLatitude,decimalLongitude,year,basisOfRecord,occurrenceID,license
Epiphyllum phyllanthus,Plantae,Cactaceae,Epiphyllum,-25.304752,-57.377121,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336025484,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Anartia jatrophae,Animalia,Nymphalidae,Anartia,-25.3368,-57.5266,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335849388,http://creativecommons.org/licenses/by/4.0/legalcode
Oxidus gracilis,Animalia,Paradoxosomatidae,Oxidus,-25.339952,-57.536525,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333967419,http://creativecommons.org/licenses/by/4.0/legalcode
Papilio astyalus,Animalia,Papilionidae,Papilio,-25.243111,-57.015033,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335962223,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Anartia jatrophae,Animalia,Nymphalidae,Anartia,-27.054798,-55.7529,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334434019,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paroaria coronata,Animalia,Thraupidae,Paroaria,-25.3311,-57.5274,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335273800,http://creativecommons.org/licenses/by/4.0/legalcode
Guyalna bonaerensis,Animalia,Cicadidae,Guyalna,-25.404863,-57.584538,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333233572,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Diloboderus abderus,Animalia,Scarabaeidae,Diloboderus,-26.971138,-56.824592,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333748450,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paroaria coronata,Animalia,Thraupidae,Paroaria,-25.3383,-57.523,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335126606,http://creativecommons.org/licenses/by/4.0/legalcode
Amphisbaena mertensii,Animalia,Amphisbaenidae,Amphisbaena,-25.54196,-54.696842,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335094023,http://creativecommons.org/licenses/by/4.0/legalcode
Begonia cucullata,Plantae,Begoniaceae,Begonia,-26.211442,-56.036028,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335521210,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Battus polydamas,Animalia,Papilionidae,Battus,-25.315258,-57.384155,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336117199,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Zoniopoda omnicolor,Animalia,Romaleidae,Zoniopoda,-25.607788,-56.870709,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334514822,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Alternanthera hirtula,Plantae,Amaranthaceae,Alternanthera,-25.27137,-57.553828,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335261383,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Canna indica,Plantae,Cannaceae,Canna,-25.613111,-57.139872,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334241274,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sidastrum paniculatum,Plantae,Malvaceae,Sidastrum,-25.54468,-56.973,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334113955,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Rupornis magnirostris,Animalia,Accipitridae,Rupornis,-25.245361,-57.425439,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335351133,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Commelina platyphylla,Plantae,Commelinaceae,Commelina,-25.405368,-57.585197,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333847203,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Guira guira,Animalia,Cuculidae,Guira,-25.463016,-56.063763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334440586,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sicalis flaveola,Animalia,Thraupidae,Sicalis,-25.3327,-57.5275,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333766567,http://creativecommons.org/licenses/by/4.0/legalcode
Melanerpes candidus,Animalia,Picidae,Melanerpes,-27.068289,-55.532943,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334108760,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Rhinella diptycha,Animalia,Bufonidae,Rhinella,-25.3398,-57.5216,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336086740,http://creativecommons.org/licenses/by/4.0/legalcode
Polybia sericea,Animalia,Eumenidae,Polybia,-25.3546,-57.5099,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334717173,http://creativecommons.org/licenses/by/4.0/legalcode
Sicalis flaveola,Animalia,Thraupidae,Sicalis,-25.3323,-57.5273,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333766310,http://creativecommons.org/licenses/by/4.0/legalcode
Saltator coerulescens,Animalia,Thraupidae,Saltator,-25.3324,-57.5282,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334514624,http://creativecommons.org/licenses/by/4.0/legalcode
Salvator merianae,Animalia,Teiidae,Salvator,-25.559797,-54.630858,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333739741,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sicalis flaveola,Animalia,Thraupidae,Sicalis,-25.3346,-57.5206,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333749083,http://creativecommons.org/licenses/by/4.0/legalcode
Latrodectus corallinus,Animalia,Theridiidae,Latrodectus,-25.362997,-57.368192,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335805047,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Prepona demophon,Animalia,Nymphalidae,Prepona,-25.384883,-57.543153,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334404855,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Mycteria americana,Animalia,Ciconiidae,Mycteria,-27.049273,-58.418318,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334394212,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Diaethria clymena,Animalia,Nymphalidae,Diaethria,-27.190414,-55.797987,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336099504,http://creativecommons.org/licenses/by-nc/4.0/legalcode
